#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet
55,MM10,AL2,NED,JPN,1-0,1,2-1,1,3,3-1,1,3,3-1,1,3,0-0,x,1,,,,2-1,1,3,2-0,1,4,2-0,1,4,2-0,1,4
56,MM10,AL2,GHA,AUS,1-1,x,1-1,x,5,2-0,1,0,2-0,1,0,1-1,x,5,,,,2-1,1,1,3-0,1,0,2-0,1,0,2-0,1,0
57,MM10,AL2,CMR,DEN,1-2,2,1-1,x,1,1-1,x,1,1-2,2,5,0-1,2,3,1-2,2,5,1-2,2,5,1-3,2,4,0-1,2,3,0-1,2,3
58,MM10,AL2,SVK,PAR,0-2,2,1-1,x,0,1-1,x,0,0-2,2,5,0-0,x,1,,,,0-2,2,5,1-2,2,4,0-1,2,4,1-2,2,4
59,MM10,AL2,ITA,NZL,1-1,x,1-0,1,1,2-0,1,0,2-0,1,0,3-0,1,0,2-0,1,0,3-0,1,0,2-0,1,0,2-0,1,0,2-0,1,0
60,MM10,AL2,BRA,CIV,3-1,1,1-0,1,3,1-0,1,3,2-1,1,4,1-0,1,3,1-0,1,3,2-2,x,0,2-2,x,0,2-0,1,3,2-1,1,4
61,MM10,AL2,POR,PRK,7-0,1,1-0,1,4,2-0,1,4,2-1,1,3,0-0,x,1,1-1,x,0,2-0,1,4,2-1,1,3,2-0,1,4,1-0,1,4
62,MM10,AL2,CHI,SUI,1-0,1,1-1,x,1,1-1,x,1,1-1,x,1,2-1,1,3,2-0,1,4,0-0,x,1,2-1,1,3,1-1,x,1,1-1,x,1
63,MM10,AL2,ESP,HON,2-0,1,4-0,1,4,2-0,1,5,3-0,1,4,2-0,1,5,2-0,1,5,4-0,1,4,3-0,1,4,4-0,1,4,4-0,1,4
64,MM10,AL3,MEX,URU,0-1,2,1-1,x,1,1-1,x,1,1-2,2,3,1-0,1,0,1-2,2,3,1-1,x,1,1-1,x,1,0-2,2,4,1-1,x,1
65,MM10,AL3,FRA,RSA,1-2,2,2-1,1,0,0-0,x,0,1-1,x,1,2-0,1,0,0-2,2,4,1-1,x,1,2-0,1,0,2-1,1,0,0-0,x,0
66,MM10,AL3,GRE,ARG,0-2,2,,,,0-2,2,5,0-2,2,5,0-2,2,5,0-3,2,4,1-3,2,3,0-3,2,4,0-2,2,5,0-3,2,4
67,MM10,AL3,NGA,KOR,2-2,x,,,,2-1,1,1,1-1,x,3,1-0,1,0,1-2,2,1,0-1,2,0,0-1,2,0,1-1,x,3,2-1,1,1
68,MM10,AL3,SVN,ENG,0-1,2,0-1,2,5,0-2,2,4,0-2,2,4,0-2,2,4,1-1,x,1,1-2,2,3,0-1,2,5,0-1,2,5,1-1,x,1
69,MM10,AL3,USA,ALG,1-0,1,1-0,1,5,1-1,x,1,1-1,x,1,2-0,1,4,1-0,1,5,1-0,1,5,0-1,2,0,1-0,1,5,2-0,1,4
70,MM10,AL3,GHA,GER,0-1,2,0-1,2,5,0-2,2,4,2-2,x,0,0-1,2,5,1-2,2,3,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4
71,MM10,AL3,AUS,SRB,2-1,1,0-1,2,1,0-1,2,1,0-2,2,0,1-1,x,1,1-1,x,1,0-1,2,1,0-2,2,0,0-1,2,1,0-1,2,1
72,MM10,AL3,PAR,NZL,0-0,x,2-0,1,1,1-0,1,1,2-0,1,1,2-1,1,0,2-0,1,1,2-0,1,1,2-0,1,1,3-0,1,1,2-0,1,1
73,MM10,AL3,SVK,ITA,3-2,1,1-1,x,0,0-1,2,0,0-2,2,1,0-2,2,1,0-1,2,0,0-2,2,1,1-1,x,0,1-1,x,0,0-1,2,0
74,MM10,AL3,CMR,NED,1-2,2,0-1,2,3,0-1,2,3,0-2,2,4,1-3,2,4,1-2,2,5,1-1,x,1,0-3,2,3,0-2,2,4,0-2,2,4
75,MM10,AL3,DEN,JPN,1-3,2,1-0,1,1,2-1,1,0,1-1,x,1,1-0,1,1,0-2,2,3,1-0,1,1,0-1,2,3,2-1,1,0,2-1,1,0
76,MM10,AL3,POR,BRA,0-0,x,1-1,x,3,1-1,x,3,2-2,x,3,0-1,2,1,1-3,2,0,2-1,1,0,2-2,x,3,0-1,2,1,0-1,2,1
77,MM10,AL3,PRK,CIV,0-3,2,1-2,2,3,1-4,2,3,1-3,2,4,0-2,2,4,0-4,2,4,0-2,2,4,1-0,1,0,1-2,2,3,0-2,2,4
78,MM10,AL3,CHI,ESP,1-2,2,0-2,2,4,1-2,2,5,1-2,2,5,1-2,2,5,2-3,2,3,1-2,2,5,1-3,2,4,0-3,2,3,1-2,2,5
79,MM10,AL3,SUI,HON,0-0,x,1-0,1,1,1-0,1,1,1-0,1,1,2-0,1,1,,,,2-0,1,1,0-0,x,5,1-0,1,1,1-0,1,1
80,MM10,JNV,URU,KOR,2-1,1,2-0,1,4,2-1,1,5,1-1,x,1,2-1,1,5,2-1,1,5,2-1,1,5,0-2,2,0,1-0,1,3,1-0,1,3
81,MM10,JNV,USA,GHA,1-1,x,1-1,x,5,1-1,x,5,1-2,2,1,1-1,x,5,1-2,2,1,1-1,x,5,2-0,1,0,2-2,x,3,0-1,2,1
82,MM10,JNV,GER,ENG,4-1,1,1-1,x,1,1-1,x,1,2-1,1,4,1-1,x,1,3-1,1,4,1-1,x,1,2-0,1,3,0-1,2,1,1-1,x,1
83,MM10,JNV,ARG,MEX,3-1,1,2-1,1,4,2-1,1,4,2-1,1,4,1-1,x,1,2-0,1,3,1-0,1,3,3-1,1,5,2-0,1,3,3-1,1,5
84,MM10,JNV,NED,SVK,2-1,1,2-0,1,4,2-0,1,4,2-0,1,4,1-0,1,3,2-2,x,1,2-0,1,4,2-0,1,4,1-0,1,3,2-0,1,4
85,MM10,JNV,BRA,CHI,3-0,1,3-0,1,5,1-0,1,4,2-0,1,4,2-0,1,4,3-2,1,4,2-0,1,4,1-1,x,0,2-1,1,3,2-1,1,3
86,MM10,JNV,PAR,JPN,0-0,x,0-0,x,5,2-1,1,0,1-1,x,3,0-1,2,1,2-1,1,0,1-1,x,3,0-2,2,1,2-1,1,0,1-2,2,0
87,MM10,JNV,ESP,POR,1-0,1,1-1,x,1,1-1,x,1,1-1,x,1,0-0,x,1,2-0,1,4,1-2,2,1,2-0,1,4,2-0,1,4,0-0,x,1
88,MM10,JPV,NED,BRA,2-1,1,1-2,2,0,2-1,1,5,1-2,2,0,0-1,2,1,,,,1-1,x,1,2-1,1,5,0-2,2,0,1-0,1,3
89,MM10,JPV,URU,GHA,1-1,x,1-1,x,5,2-1,1,1,1-1,x,5,0-0,x,3,1-2,2,1,1-0,1,1,2-1,1,1,2-1,1,1,1-1,x,5
90,MM10,JPV,ARG,GER,0-4,2,2-2,x,0,2-1,1,0,2-2,x,0,1-2,2,3,2-3,2,3,0-0,x,1,1-3,2,3,2-1,1,0,1-1,x,0
91,MM10,JPV,PAR,ESP,0-1,2,0-1,2,5,0-2,2,4,0-2,2,4,0-1,2,5,0-2,2,4,0-1,2,5,0-2,2,4,0-2,2,4,0-1,2,5
92,MM10,JV,URU,NED,2-3,2,0-2,2,3,1-2,2,3,1-2,2,3,0-0,x,0,,,,0-2,2,3,0-4,2,3,2-1,1,1,1-1,x,0
93,MM10,JV,GER,ESP,0-1,2,1-1,x,1,2-1,1,1,3-1,1,1,2-1,1,1,3-1,1,1,1-0,1,0,3-1,1,1,1-2,2,3,2-1,1,1
94,MM10,JP,URU,GER,2-3,2,2-3,2,5,1-3,2,4,0-2,2,3,0-2,2,3,1-2,2,3,1-1,x,0,1-0,1,0,0-3,2,4,1-3,2,4
95,MM10,JF,NED,ESP,0-0,x,0-1,2,1,2-0,1,1,1-2,2,0,1-1,x,3,3-2,1,0,1-1,x,3,2-0,1,1,1-2,2,0,0-0,x,5
