#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet
20,EM08,AL3,AUT,GER,0-1,2,0-2,2,4,0-2,2,4,0-2,2,4,0-3,2,4,0-3,2,4,1-3,2,3,1-0,1,0,0-4,2,4
21,EM08,AL3,NED,ROU,2-0,1,2-1,1,4,2-0,1,5,2-1,1,4,1-1,x,0,1-1,x,0,3-2,1,3,2-1,1,4,2-0,1,5
22,EM08,AL3,FRA,ITA,0-2,2,1-1,x,0,1-2,2,4,1-2,2,4,1-2,2,4,0-1,2,4,2-1,1,0,2-1,1,0,3-0,1,0
23,EM08,AL3,RUS,SWE,2-0,1,1-0,1,4,0-1,2,0,1-1,x,0,1-2,2,0,2-1,1,4,1-2,2,0,2-1,1,4,0-3,2,0
24,EM08,AL3,GRE,ESP,1-2,2,0-2,2,4,0-2,2,4,1-3,2,4,0-2,2,4,0-2,2,4,0-3,2,3,0-2,2,4,0-1,2,3
25,EM08,JPV,POR,GER,2-3,2,2-1,1,1,2-1,1,1,2-1,1,1,2-2,x,1,1-1,x,0,2-2,x,1,1-2,2,3,2-0,1,1
26,EM08,JPV,CRO,TUR,0-0,x,2-0,1,1,2-1,1,0,0-2,2,1,2-0,1,1,2-1,1,0,3-1,1,0,2-0,1,1,2-1,1,0
27,EM08,JPV,NED,RUS,1-1,x,2-2,x,3,3-1,1,1,3-1,1,1,3-1,1,1,2-1,1,1,4-2,1,0,2-0,1,0,1-2,2,1
28,EM08,JPV,ESP,ITA,0-0,x,1-1,x,3,2-1,1,0,2-0,1,1,2-2,x,3,0-1,2,1,2-0,1,1,2-1,1,0,3-1,1,0
29,EM08,JV,GER,TUR,3-2,1,3-0,1,4,3-1,1,4,2-1,1,3,3-1,1,4,2-0,1,3,1-1,x,0,1-1,x,0,2-0,1,3
30,EM08,JV,RUS,ESP,0-3,2,0-1,2,4,2-2,x,0,1-1,x,0,2-2,x,0,3-1,1,0,2-2,x,0,2-2,x,0,,,
31,EM08,JF,GER,ESP,0-1,2,1-1,x,1,1-3,2,3,1-2,2,3,0-1,2,5,1-1,x,1,3-3,x,0,9-14,2,3,,,
