#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Etirel9-veikkaus,Etirel9-merkki,Etirel9-pisteet,kool-aid-veikkaus,kool-aid-merkki,kool-aid-pisteet
320,EM20,AL2,ITA,SUI,3-0,1,2-0,1,4,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-0,1,4,1-0,1,4,2-1,1,3,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,3-0,1,5
321,EM20,AL2,UKR,MKD,2-1,1,2-0,1,4,1-0,1,3,2-0,1,4,2-0,1,4,2-1,1,5,3-0,1,3,2-1,1,5,1-0,1,3,2-0,1,4,3-0,1,3,2-0,1,4,3-1,1,4,2-1,1,5,2-0,1,4
322,EM20,AL2,DEN,BEL,1-2,2,1-2,2,5,0-1,2,3,0-3,2,3,1-2,2,5,1-1,x,1,1-2,2,5,1-1,x,1,1-1,x,1,1-1,x,1,1-3,2,4,1-2,2,5,0-2,2,4,0-2,2,4,0-3,2,3
323,EM20,AL2,NED,AUT,2-0,1,3-1,1,3,2-0,1,5,3-0,1,4,3-0,1,4,2-0,1,5,3-0,1,4,3-0,1,4,3-0,1,4,1-1,x,0,2-0,1,5,3-1,1,3,2-2,x,1,3-1,1,3,2-2,x,1
324,EM20,AL2,SWE,SVK,1-0,1,1-0,1,5,2-1,1,3,1-1,x,1,2-1,1,3,2-0,1,4,2-1,1,3,1-0,1,5,2-0,1,4,1-0,1,5,0-0,x,1,1-2,2,1,1-0,1,5,1-1,x,1,2-0,1,4
325,EM20,AL2,CRO,CZE,1-1,x,2-0,1,0,2-2,x,3,1-0,1,1,2-1,1,1,1-1,x,5,2-0,1,0,2-1,1,1,2-1,1,1,2-0,1,0,2-0,1,0,2-1,1,1,1-0,1,1,1-0,1,1,2-1,1,1
326,EM20,AL2,ENG,SCO,0-0,x,2-1,1,0,2-0,1,1,2-0,1,1,2-0,1,1,2-1,1,0,2-0,1,1,3-1,1,0,3-1,1,0,2-0,1,1,3-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1
327,EM20,AL2,HUN,FRA,1-1,x,1-3,2,1,0-2,2,0,0-3,2,0,0-2,2,0,0-1,2,1,0-2,2,0,0-4,2,0,0-4,2,0,0-3,2,0,0-4,2,0,0-3,2,0,0-4,2,0,0-3,2,0,0-3,2,0
328,EM20,AL2,POR,GER,2-4,2,1-2,2,3,1-0,1,0,1-2,2,3,1-2,2,3,1-1,x,0,2-1,1,1,1-2,2,3,2-0,1,1,1-0,1,0,1-0,1,0,1-1,x,0,1-2,2,3,1-2,2,3,1-2,2,3
329,EM20,AL2,ESP,POL,1-1,x,2-0,1,0,2-0,1,0,1-1,x,5,1-0,1,1,2-0,1,0,1-0,1,1,2-0,1,0,3-1,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-1,1,1,1-0,1,1,1-0,1,1
330,EM20,AL3,SUI,TUR,3-1,1,2-1,1,4,3-2,1,4,1-0,1,3,1-0,1,3,2-1,1,4,0-0,x,0,1-0,1,3,2-1,1,4,2-0,1,3,2-0,1,3,1-0,1,3,1-0,1,3,1-0,1,3,2-1,1,4
331,EM20,AL3,ITA,WAL,1-0,1,1-0,1,5,2-0,1,4,3-1,1,3,1-1,x,1,2-1,1,3,2-0,1,4,2-0,1,4,3-0,1,4,3-0,1,4,2-0,1,4,1-1,x,1,2-1,1,3,2-1,1,3,3-0,1,4
332,EM20,AL3,MKD,NED,0-3,2,0-4,2,4,0-2,2,4,0-2,2,4,0-3,2,5,0-3,2,5,1-3,2,4,0-2,2,4,0-4,2,4,0-2,2,4,0-4,2,4,1-3,2,4,1-4,2,3,0-2,2,4,1-4,2,3
333,EM20,AL3,UKR,AUT,0-1,2,1-1,x,1,1-1,x,1,1-2,2,3,2-1,1,1,2-1,1,1,1-0,1,0,1-1,x,1,2-1,1,1,1-2,2,3,1-1,x,1,2-1,1,1,1-1,x,1,2-0,1,0,1-1,x,1
334,EM20,AL3,RUS,DEN,1-4,2,0-1,2,3,1-2,2,4,1-1,x,1,0-2,2,3,1-2,2,4,0-2,2,3,0-2,2,3,0-2,2,3,0-2,2,3,0-1,2,3,0-1,2,3,1-2,2,4,0-1,2,3,2-1,1,0
335,EM20,AL3,FIN,BEL,0-2,2,0-2,2,5,1-1,x,0,0-2,2,5,0-3,2,4,1-2,2,4,0-2,2,5,1-1,x,0,1-1,x,0,0-3,2,4,1-1,x,0,1-3,2,3,1-2,2,4,1-3,2,3,0-2,2,5
336,EM20,AL3,CRO,SCO,3-1,1,2-1,1,4,1-2,2,0,0-0,x,0,2-0,1,3,1-0,1,3,1-0,1,3,2-0,1,3,1-1,x,1,,,,2-0,1,3,2-1,1,4,1-0,1,3,2-1,1,4,2-1,1,4
337,EM20,AL3,CZE,ENG,0-1,2,0-2,2,4,1-1,x,1,1-2,2,3,1-1,x,1,1-2,2,3,1-2,2,3,1-3,2,3,0-2,2,4,,,,0-0,x,1,1-1,x,1,1-1,x,1,0-1,2,5,0-1,2,5
338,EM20,AL3,SVK,ESP,0-5,2,0-2,2,4,1-2,2,3,0-1,2,4,0-2,2,4,0-2,2,4,0-1,2,4,0-1,2,4,0-2,2,4,0-1,2,4,0-2,2,4,0-1,2,4,0-2,2,4,0-2,2,4,1-2,2,3
339,EM20,AL3,SWE,POL,3-2,1,1-1,x,0,0-1,2,0,1-0,1,3,0-1,2,0,1-1,x,0,2-0,1,3,0-1,2,0,1-2,2,1,1-1,x,0,1-1,x,0,1-0,1,3,1-2,2,1,1-1,x,0,1-1,x,0
340,EM20,AL3,POR,FRA,2-2,x,1-2,2,1,2-1,1,1,1-2,2,1,2-2,x,5,0-1,2,0,1-2,2,1,2-2,x,5,1-2,2,1,1-1,x,3,0-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,0-1,2,0
341,EM20,AL3,GER,HUN,2-2,x,3-0,1,0,2-0,1,1,2-0,1,1,3-0,1,0,3-0,1,0,3-0,1,0,3-0,1,0,4-0,1,0,2-0,1,1,2-0,1,1,2-0,1,1,3-0,1,0,3-0,1,0,3-1,1,0
342,EM20,JNV,WAL,DEN,0-4,2,1-2,2,3,0-2,2,4,0-1,2,4,1-1,x,0,1-2,2,3,2-1,1,0,1-2,2,3,0-2,2,4,0-1,2,4,2-2,x,0,1-1,x,0,1-2,2,3,0-1,2,4,1-2,2,3
343,EM20,JNV,ITA,AUT,0-0,x,2-0,1,1,2-0,1,1,2-0,1,1,3-0,1,1,2-0,1,1,3-0,1,1,2-0,1,1,1-1,x,3,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,3-1,1,0
344,EM20,JNV,NED,CZE,0-2,2,2-1,1,0,2-1,1,0,3-1,1,0,2-1,1,0,2-1,1,0,3-1,1,0,3-1,1,0,3-1,1,0,1-0,1,0,3-1,1,0,2-1,1,0,3-1,1,0,2-0,1,0,2-0,1,0
345,EM20,JNV,BEL,POR,1-0,1,1-1,x,1,0-1,2,0,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-2,x,0,2-1,1,3,1-1,x,1,0-1,2,0,2-1,1,3,1-1,x,1,2-1,1,3,2-2,x,0
346,EM20,JNV,CRO,ESP,3-3,x,0-2,2,0,1-1,x,3,1-1,x,3,1-1,x,3,1-1,x,3,0-2,2,0,0-1,2,0,1-1,x,3,0-1,2,0,0-0,x,3,0-2,2,0,1-1,x,3,1-2,2,0,2-0,1,0
347,EM20,JNV,FRA,SUI,3-3,x,3-1,1,1,2-0,1,0,2-0,1,0,2-0,1,0,1-1,x,3,1-0,1,0,2-0,1,0,3-1,1,1,2-0,1,0,1-1,x,3,2-0,1,0,2-1,1,0,1-0,1,0,3-0,1,1
348,EM20,JNV,ENG,GER,2-0,1,1-2,2,0,0-1,2,0,2-1,1,4,1-2,2,0,2-2,x,1,2-1,1,4,1-2,2,0,2-0,1,5,1-1,x,0,0-1,2,0,1-2,2,0,2-3,2,1,1-2,2,0,0-0,x,1
349,EM20,JNV,SWE,UKR,1-1,x,0-1,2,1,2-0,1,0,1-1,x,5,1-0,1,1,2-1,1,1,3-0,1,0,1-0,1,1,1-2,2,1,1-0,1,1,0-0,x,3,1-1,x,5,2-1,1,1,1-0,1,1,2-1,1,1
350,EM20,JPV,SUI,ESP,1-1,x,0-3,2,0,1-3,2,1,1-2,2,1,1-1,x,5,1-2,2,1,0-2,2,0,2-2,x,3,1-1,x,5,1-1,x,5,1-1,x,5,1-2,2,1,2-3,2,0,0-2,2,0,1-2,2,1
351,EM20,JPV,BEL,ITA,1-2,2,1-1,x,1,0-1,2,3,1-1,x,1,1-1,x,1,1-1,x,1,1-2,2,5,0-0,x,0,2-0,1,0,0-1,2,3,0-1,2,3,1-1,x,1,1-1,x,1,1-1,x,1,2-2,x,1
352,EM20,JPV,CZE,DEN,1-2,2,1-2,2,5,3-2,1,1,1-2,2,5,1-1,x,1,1-2,2,5,1-3,2,4,0-2,2,4,1-2,2,5,1-1,x,1,1-2,2,5,1-2,2,5,1-2,2,5,0-1,2,3,1-1,x,1
353,EM20,JPV,UKR,ENG,0-4,2,0-3,2,4,1-0,1,0,0-2,2,4,1-3,2,3,0-2,2,4,0-2,2,4,1-2,2,3,0-1,2,4,0-1,2,4,0-1,2,4,0-2,2,4,1-2,2,3,0-2,2,4,1-1,x,0
354,EM20,JV,ITA,ESP,1-1,x,1-2,2,1,0-1,2,1,2-1,1,1,2-1,1,1,1-0,1,1,2-1,1,1,1-1,x,5,1-2,2,1,2-0,1,0,1-1,x,5,1-0,1,1,2-1,1,1,2-1,1,1,2-1,1,1
355,EM20,JV,ENG,DEN,1-1,x,2-1,1,1,1-2,2,1,1-1,x,5,2-0,1,0,1-1,x,5,3-1,1,1,0-2,2,0,1-2,2,1,2-0,1,0,0-1,2,1,2-1,1,1,2-0,1,0,1-0,1,1,2-2,x,3
356,EM20,JF,ITA,ENG,1-1,x,0-4,2,0,1-0,1,1,1-2,2,1,1-1,x,5,1-1,x,5,2-1,1,1,1-1,x,5,2-1,1,1,1-0,1,1,0-0,x,3,1-1,x,5,1-1,x,5,1-1,x,5,2-0,1,0
