#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Joonas H-veikkaus,Joonas H-merkki,Joonas H-pisteet
254,MM18,AL1,BEL,PAN,3-0,1,3-0,1,5,3-0,1,5,2-0,1,4,2-0,1,4,3-0,1,5,3-0,1,5,3-0,1,5,1-0,1,4,3-0,1,5,2-0,1,4,2-0,1,4,3-0,1,5,5-0,1,4
255,MM18,AL1,TUN,ENG,1-2,2,1-2,2,5,1-2,2,5,1-2,2,5,0-2,2,4,0-3,2,3,1-2,2,5,0-1,2,3,0-1,2,3,0-3,2,3,1-1,x,1,1-2,2,5,0-2,2,4,1-2,2,5
256,MM18,AL1,COL,JPN,1-2,2,2-0,1,0,2-1,1,0,2-0,1,0,2-1,1,0,1-0,1,1,3-0,1,0,2-0,1,0,0-1,2,3,2-0,1,0,1-0,1,1,2-0,1,0,2-1,1,0,2-0,1,0
257,MM18,AL1,POL,SEN,1-2,2,2-1,1,0,2-0,1,0,2-1,1,0,2-1,1,0,1-1,x,1,1-1,x,1,2-1,1,0,1-1,x,1,2-0,1,0,2-0,1,0,2-1,1,0,2-1,1,0,2-1,1,0
258,MM18,AL2,RUS,EGY,3-1,1,2-1,1,4,2-1,1,4,2-1,1,4,1-1,x,1,1-1,x,1,1-2,2,0,2-1,1,4,1-1,x,1,0-1,2,1,0-1,2,1,0-1,2,1,1-2,2,0,1-1,x,1
259,MM18,AL2,POR,MAR,1-0,1,1-1,x,1,2-0,1,4,4-0,1,4,2-0,1,4,4-1,1,3,2-0,1,4,3-1,1,3,3-0,1,4,3-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,1-0,1,5
260,MM18,AL2,URU,KSA,1-0,1,2-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,1-0,1,5,2-0,1,4,4-0,1,4,3-0,1,4,2-0,1,4,3-0,1,4
261,MM18,AL2,IRN,ESP,0-1,2,0-2,2,4,0-3,2,4,0-4,2,4,0-2,2,4,1-1,x,1,0-2,2,4,0-2,2,4,1-2,2,3,0-2,2,4,0-2,2,4,0-2,2,4,0-3,2,4,0-2,2,4
262,MM18,AL2,DEN,AUS,1-1,x,0-0,x,3,1-0,1,1,1-0,1,1,2-1,1,1,2-1,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-0,1,0,1-0,1,1,1-0,1,1,1-0,1,1,0-0,x,3
263,MM18,AL2,FRA,PER,1-0,1,2-1,1,3,2-0,1,4,2-1,1,3,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,1-1,x,1,2-1,1,3,2-0,1,4,2-0,1,4,2-1,1,3
264,MM18,AL2,ARG,CRO,0-3,2,2-1,1,0,2-1,1,0,2-0,1,0,2-2,x,0,1-1,x,0,1-2,2,3,2-1,1,0,1-1,x,0,1-1,x,0,1-2,2,3,1-1,x,0,2-1,1,0,1-0,1,0
265,MM18,AL2,BRA,CRC,2-0,1,3-0,1,4,2-0,1,5,2-0,1,5,2-0,1,5,2-0,1,5,3-0,1,4,2-0,1,5,2-0,1,5,2-0,1,5,3-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4
266,MM18,AL2,NGA,ISL,2-0,1,2-2,x,1,1-2,2,0,1-1,x,0,1-1,x,0,1-2,2,0,1-0,1,4,1-1,x,0,1-1,x,0,2-1,1,4,0-1,2,0,1-1,x,0,1-2,2,0,2-1,1,4
267,MM18,AL2,SRB,SUI,1-2,2,1-0,1,1,1-1,x,1,1-0,1,1,1-2,2,5,0-1,2,3,1-1,x,1,1-1,x,1,3-0,1,0,1-0,1,1,0-1,2,3,1-0,1,1,1-1,x,1,1-1,x,1
268,MM18,AL2,BEL,TUN,5-2,1,2-0,1,3,3-0,1,3,2-0,1,3,3-1,1,3,2-0,1,3,2-0,1,3,2-0,1,3,1-0,1,3,2-0,1,3,2-1,1,3,2-0,1,3,2-0,1,3,2-0,1,3
269,MM18,AL2,KOR,MEX,1-2,2,1-2,2,5,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,1-1,x,1,0-2,2,4,1-1,x,1,0-2,2,4,0-2,2,4,1-2,2,5
270,MM18,AL2,GER,SWE,2-1,1,2-0,1,4,2-0,1,4,2-1,1,5,3-1,1,4,2-0,1,4,2-1,1,5,1-0,1,3,2-0,1,4,1-0,1,3,1-0,1,3,2-1,1,5,2-1,1,5,2-0,1,4
271,MM18,AL2,ENG,PAN,6-1,1,3-0,1,3,2-0,1,3,3-0,1,3,2-0,1,3,3-0,1,3,3-0,1,3,2-0,1,3,2-0,1,3,3-0,1,3,4-0,1,3,2-0,1,3,2-0,1,3,4-0,1,3
272,MM18,AL2,JPN,SEN,2-2,x,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,2-1,1,1,1-2,2,1,1-2,2,1,1-0,1,0,1-1,x,3,1-2,2,1,1-1,x,3,2-2,x,5,0-1,2,0
273,MM18,AL2,POL,COL,0-3,2,1-2,2,3,1-2,2,3,1-1,x,0,1-2,2,3,2-1,1,0,1-3,2,4,2-1,1,0,1-1,x,0,1-1,x,0,2-0,1,0,2-1,1,0,2-2,x,0,1-1,x,0
274,MM18,AL3,KSA,EGY,2-1,1,1-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0,0-1,2,1,0-2,2,0,1-2,2,0,0-2,2,0,0-1,2,1,0-1,2,1,0-2,2,0,0-1,2,1,0-1,2,1
275,MM18,AL3,URU,RUS,3-0,1,2-0,1,4,1-1,x,0,2-2,x,0,2-1,1,3,1-1,x,0,2-1,1,3,1-1,x,0,1-2,2,0,1-0,1,4,1-1,x,0,1-2,2,0,1-0,1,4,1-0,1,4
276,MM18,AL3,ESP,MAR,2-2,x,2-1,1,1,3-1,1,0,2-0,1,1,2-1,1,1,2-0,1,1,2-0,1,1,2-0,1,1,1-0,1,0,2-0,1,1,1-0,1,0,2-1,1,1,2-0,1,1,2-1,1,1
277,MM18,AL3,IRN,POR,1-1,x,0-2,2,0,0-2,2,0,0-2,2,0,0-1,2,1,0-1,2,1,0-1,2,1,1-2,2,1,1-2,2,1,0-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0
278,MM18,AL3,AUS,PER,0-2,2,1-1,x,0,2-1,1,0,0-2,2,5,2-1,1,0,1-2,2,4,1-1,x,0,1-0,1,0,1-1,x,0,0-2,2,5,1-2,2,4,1-0,1,0,0-0,x,1,1-1,x,0
279,MM18,AL3,DEN,FRA,0-0,x,0-2,2,1,0-1,2,1,1-2,2,0,1-1,x,3,1-1,x,3,1-2,2,0,1-1,x,3,1-1,x,3,1-1,x,3,0-1,2,1,1-1,x,3,1-2,2,0,0-1,2,1
280,MM18,AL3,ISL,CRO,1-2,2,0-1,2,3,1-2,2,5,1-1,x,1,1-2,2,5,1-2,2,5,0-2,2,4,1-2,2,5,1-1,x,1,0-2,2,4,0-2,2,4,1-1,x,1,1-2,2,5,0-1,2,3
281,MM18,AL3,NGA,ARG,1-2,2,1-3,2,4,1-2,2,5,2-1,1,0,1-2,2,5,1-1,x,1,2-2,x,1,0-2,2,4,1-2,2,5,0-2,2,4,0-2,2,4,1-2,2,5,0-1,2,3,1-3,2,4
282,MM18,AL3,KOR,GER,2-0,1,0-2,2,0,0-3,2,0,0-2,2,0,0-3,2,0,0-2,2,0,0-2,2,0,0-2,2,0,1-1,x,0,0-2,2,0,0-2,2,0,0-3,2,0,0-3,2,0,0-2,2,0
283,MM18,AL3,MEX,SWE,0-3,2,1-1,x,0,1-1,x,0,2-2,x,0,2-1,1,0,2-1,1,0,2-1,1,0,2-2,x,0,1-2,2,3,1-0,1,0,0-0,x,1,0-1,2,4,2-1,1,0,1-1,x,0
284,MM18,AL3,SRB,BRA,0-2,2,0-2,2,5,1-2,2,4,0-3,2,4,1-2,2,4,0-1,2,4,0-2,2,5,0-2,2,5,2-1,1,0,0-2,2,5,1-2,2,4,2-2,x,1,1-2,2,4,1-2,2,4
285,MM18,AL3,SUI,CRC,2-2,x,2-1,1,1,1-0,1,0,1-1,x,3,1-0,1,0,1-0,1,0,1-0,1,0,1-0,1,0,0-0,x,3,1-0,1,0,1-0,1,0,1-2,2,1,3-0,1,0,1-0,1,0
286,MM18,AL3,JPN,POL,0-1,2,1-1,x,1,1-1,x,1,0-2,2,4,1-1,x,1,1-3,2,3,1-1,x,1,2-1,1,1,2-0,1,0,1-1,x,1,2-0,1,0,2-1,1,1,2-1,1,1,1-2,2,3
287,MM18,AL3,SEN,COL,0-1,2,1-2,2,3,0-2,2,4,1-1,x,1,1-2,2,3,1-1,x,1,1-2,2,3,0-2,2,4,2-2,x,0,2-1,1,1,0-4,2,4,1-2,2,3,1-2,2,3,1-2,2,3
288,MM18,AL3,ENG,BEL,0-1,2,0-0,x,1,2-1,1,1,1-2,2,3,2-2,x,0,1-1,x,1,2-3,2,3,1-1,x,1,1-0,1,0,1-1,x,1,1-2,2,3,1-1,x,1,1-1,x,1,1-1,x,1
289,MM18,AL3,PAN,TUN,1-2,2,1-2,2,5,0-2,2,4,0-2,2,4,1-2,2,5,1-2,2,5,0-2,2,4,1-3,2,4,0-2,2,4,0-2,2,4,2-1,1,0,0-1,2,3,1-2,2,5,0-2,2,4
290,MM18,JNV,FRA,ARG,4-3,1,2-1,1,3,1-0,1,3,0-1,2,0,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-0,1,3,2-0,1,3,0-1,2,0,2-1,1,3,3-1,1,3,2-1,1,3
291,MM18,JNV,URU,POR,2-1,1,0-0,x,0,1-1,x,1,1-2,2,0,2-1,1,5,1-1,x,1,1-1,x,1,1-1,x,1,2-0,1,4,1-1,x,1,0-0,x,0,1-1,x,1,2-2,x,1,1-2,2,0
292,MM18,JNV,ESP,RUS,1-1,x,2-0,1,0,2-0,1,0,2-1,1,1,2-0,1,0,3-1,1,1,2-0,1,0,3-1,1,1,0-1,2,1,3-0,1,0,2-0,1,0,1-1,x,5,2-1,1,1,2-0,1,0
293,MM18,JNV,CRO,DEN,1-1,x,1-0,1,1,2-1,1,1,1-1,x,5,2-0,1,0,0-1,2,1,3-1,1,1,2-0,1,0,0-1,2,1,1-1,x,5,2-0,1,0,2-1,1,1,3-1,1,1,2-1,1,1
294,MM18,JNV,BRA,MEX,2-0,1,3-1,1,3,2-1,1,4,2-0,1,5,2-1,1,4,2-1,1,4,2-0,1,5,2-0,1,5,0-2,2,0,2-0,1,5,1-1,x,0,2-1,1,4,2-2,x,1,3-1,1,3
295,MM18,JNV,BEL,JPN,3-2,1,2-0,1,3,2-1,1,3,1-1,x,0,3-1,1,4,3-1,1,4,3-1,1,4,3-0,1,4,0-2,2,1,3-0,1,4,,ERROR,,2-0,1,3,2-1,1,3,2-0,1,3
296,MM18,JNV,SWE,SUI,1-0,1,1-0,1,5,1-0,1,5,,ERROR,,1-1,x,1,1-0,1,5,1-2,2,1,1-1,x,1,0-1,2,0,1-1,x,1,,ERROR,,1-1,x,1,1-1,x,1,1-1,x,1
297,MM18,JNV,COL,ENG,1-1,x,1-2,2,1,0-2,2,0,1-2,2,1,1-2,2,1,0-2,2,0,3-2,1,0,1-2,2,1,2-0,1,0,1-2,2,1,1-2,2,1,1-1,x,5,1-2,2,1,1-2,2,1
298,MM18,JPV,URU,FRA,0-2,2,1-1,x,0,1-2,2,4,1-1,x,0,0-1,2,4,0-1,2,4,0-2,2,5,1-2,2,4,0-3,2,4,1-2,2,4,0-0,x,1,1-2,2,4,2-3,2,3,0-1,2,4
299,MM18,JPV,BRA,BEL,1-2,2,2-1,1,0,2-2,x,1,2-1,1,0,2-1,1,0,2-1,1,0,3-1,1,0,2-2,x,1,0-2,2,4,2-1,1,0,1-1,x,1,2-1,1,0,2-2,x,1,1-1,x,1
300,MM18,JPV,SWE,ENG,0-2,2,1-1,x,0,1-1,x,0,1-1,x,0,1-2,2,4,0-1,2,4,1-1,x,0,1-1,x,0,2-0,1,0,1-1,x,0,0-1,2,4,0-1,2,4,1-2,2,4,0-1,2,4
301,MM18,JPV,RUS,CRO,1-1,x,0-1,2,1,0-2,2,0,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,1-1,x,5,0-2,2,0,0-2,2,0,1-2,2,1,1-2,2,1,0-0,x,3
302,MM18,JV,FRA,BEL,1-0,1,2-1,1,3,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,3-1,1,3,1-2,2,1,3-0,1,4,0-1,2,0,1-2,2,1,2-1,1,3,2-2,x,0,1-1,x,1
303,MM18,JV,CRO,ENG,1-1,x,1-2,2,1,1-2,2,1,2-2,x,3,1-1,x,5,1-2,2,1,2-1,1,1,1-1,x,5,0-2,2,0,1-2,2,1,1-1,x,5,1-1,x,5,1-2,2,1,1-1,x,5
304,MM18,JP,BEL,ENG,2-0,1,3-1,1,3,2-0,1,5,3-1,1,3,2-1,1,4,2-1,1,4,3-2,1,3,1-3,2,0,2-0,1,5,4-3,1,3,3-2,1,3,2-1,1,4,1-2,2,0,2-1,1,4
305,MM18,JF,FRA,CRO,4-2,1,3-0,1,3,0-1,2,0,1-2,2,1,2-1,1,3,2-1,1,3,2-1,1,3,0-0,x,0,3-0,1,3,3-0,1,3,1-0,1,3,2-1,1,3,1-1,x,0,0-0,x,0
