#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,JayJay-veikkaus,JayJay-merkki,JayJay-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet
150,MM14,AL2,ITA,CRC,0-1,2,2-0,1,0,2-2,x,0,2-0,1,0,2-0,1,0,2-0,1,0,3-0,1,0,4-0,1,0,3-0,1,0,3-0,1,0,,,,2-0,1,0,2-1,1,1
151,MM14,AL2,SUI,FRA,2-5,2,1-2,2,3,1-2,2,3,1-1,x,0,1-2,2,3,1-2,2,3,1-2,2,3,1-2,2,3,0-2,2,3,0-2,2,3,0-2,2,3,1-1,x,0,1-3,2,3
152,MM14,AL2,HON,ECU,1-2,2,1-3,2,4,1-1,x,1,0-1,2,3,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-0,x,0,1-2,2,5,0-1,2,3,0-2,2,4
153,MM14,AL2,ARG,IRN,1-0,1,5-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,2-0,1,4,3-0,1,4,4-0,1,4,3-0,1,4,1-0,1,5,3-0,1,4,4-0,1,4,3-0,1,4
154,MM14,AL2,GER,GHA,2-2,x,3-1,1,0,3-1,1,0,3-0,1,0,3-0,1,0,4-1,1,0,3-0,1,0,1-1,x,3,3-0,1,0,3-0,1,0,2-0,1,1,2-0,1,1,3-1,1,0
155,MM14,AL2,NGA,BIH,1-0,1,1-2,2,1,0-2,2,0,1-2,2,1,1-3,2,1,1-2,2,1,1-1,x,1,1-2,2,1,0-2,2,0,1-2,2,1,1-2,2,1,0-1,2,0,0-2,2,0
156,MM14,AL2,BEL,RUS,1-0,1,1-0,1,5,2-1,1,3,2-1,1,3,0-0,x,1,1-1,x,1,2-1,1,3,2-0,1,4,1-0,1,5,2-1,1,3,2-1,1,3,3-1,1,3,2-1,1,3
157,MM14,AL2,KOR,ALG,2-4,2,2-2,x,1,1-0,1,0,1-0,1,0,0-1,2,3,1-0,1,0,1-0,1,0,1-0,1,0,1-1,x,0,2-0,1,1,1-0,1,0,1-1,x,0,1-1,x,0
158,MM14,AL2,USA,POR,2-2,x,2-3,2,1,1-1,x,3,1-2,2,1,1-1,x,3,2-1,1,1,1-3,2,0,0-3,2,0,1-2,2,1,1-2,2,1,1-2,2,1,2-1,1,1,2-2,x,5
159,MM14,AL3,NED,CHI,2-0,1,2-3,2,1,2-3,2,1,2-2,x,1,1-1,x,0,2-2,x,1,2-1,1,4,1-1,x,0,1-1,x,0,1-2,2,0,,,,1-2,2,0,2-3,2,1
160,MM14,AL3,AUS,ESP,0-3,2,0-2,2,4,1-3,2,4,1-2,2,3,1-1,x,0,1-3,2,4,1-2,2,3,1-2,2,3,1-3,2,4,0-4,2,4,,,,0-3,2,5,1-2,2,3
161,MM14,AL3,CMR,BRA,1-4,2,0-3,2,3,0-4,2,4,0-3,2,3,0-2,2,3,0-3,2,3,0-4,2,4,0-2,2,3,0-3,2,3,0-4,2,4,0-4,2,4,0-4,2,4,0-2,2,3
162,MM14,AL3,CRO,MEX,1-3,2,2-1,1,0,1-1,x,1,1-1,x,1,1-0,1,1,1-1,x,1,2-1,1,0,2-2,x,0,0-2,2,3,0-0,x,0,2-1,1,0,2-1,1,0,2-1,1,0
163,MM14,AL3,ITA,URU,0-1,2,1-1,x,1,2-1,1,1,2-2,x,0,1-1,x,1,2-1,1,1,1-1,x,1,1-2,2,3,1-2,2,3,1-1,x,1,1-0,1,0,1-2,2,3,1-2,2,3
164,MM14,AL3,CRC,ENG,0-0,x,1-2,2,0,2-2,x,3,2-1,1,0,1-1,x,3,1-3,2,0,1-2,2,0,0-0,x,5,1-1,x,3,0-1,2,1,1-0,1,1,1-3,2,0,2-1,1,0
165,MM14,AL3,JPN,COL,1-4,2,,,,1-2,2,4,1-1,x,1,2-1,1,0,0-2,2,3,1-2,2,4,2-1,1,0,0-2,2,3,2-2,x,0,0-2,2,3,0-2,2,3,0-2,2,3
166,MM14,AL3,GRE,CIV,2-1,1,,,,1-0,1,3,0-2,2,0,1-2,2,0,1-2,2,0,0-2,2,0,1-0,1,3,0-1,2,1,1-0,1,3,1-2,2,0,0-1,2,1,0-1,2,1
167,MM14,AL3,NGA,ARG,2-3,2,1-4,2,3,0-2,2,3,0-2,2,3,0-2,2,3,0-2,2,3,1-2,2,3,0-2,2,3,0-3,2,4,0-2,2,3,0-1,2,3,0-2,2,3,1-2,2,3
168,MM14,AL3,BIH,IRN,3-1,1,2-1,1,4,1-0,1,3,0-1,2,1,2-0,1,3,1-1,x,1,2-1,1,4,0-2,2,0,2-0,1,3,0-1,2,1,0-1,2,1,1-0,1,3,1-1,x,1
169,MM14,AL3,HON,SUI,0-3,2,0-2,2,4,0-1,2,4,0-2,2,4,0-2,2,4,0-1,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-1,2,4,1-2,2,3,0-2,2,4,1-2,2,3
170,MM14,AL3,ECU,FRA,0-0,x,1-2,2,0,1-3,2,0,1-2,2,0,1-3,2,0,1-3,2,0,1-2,2,0,0-3,2,1,1-3,2,0,0-2,2,1,0-2,2,1,1-3,2,0,1-3,2,0
171,MM14,AL3,POR,GHA,2-1,1,2-3,2,1,2-0,1,4,2-2,x,1,1-1,x,1,2-1,1,5,2-0,1,4,1-2,2,0,2-0,1,4,2-0,1,4,2-2,x,1,1-2,2,0,1-2,2,0
172,MM14,AL3,USA,GER,0-1,2,0-1,2,5,1-3,2,3,1-2,2,3,1-2,2,3,1-1,x,1,1-2,2,3,1-1,x,1,0-3,2,4,1-3,2,3,1-2,2,3,1-1,x,1,1-3,2,3
173,MM14,AL3,KOR,BEL,0-1,2,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,1-2,2,3,0-2,2,4,1-3,2,3,0-2,2,4,1-2,2,3,0-2,2,4,0-1,2,5,1-2,2,3
174,MM14,AL3,ALG,RUS,1-1,x,2-1,1,1,0-1,2,1,2-1,1,1,2-2,x,3,1-1,x,5,1-2,2,1,2-1,1,1,1-1,x,5,0-0,x,3,2-2,x,3,1-0,1,1,2-2,x,3
175,MM14,JNV,BRA,CHI,1-1,x,3-1,1,1,1-0,1,1,2-1,1,1,2-1,1,1,3-2,1,0,2-1,1,1,1-1,x,5,2-1,1,1,1-2,2,1,2-1,1,1,2-2,x,3,2-2,x,3
176,MM14,JNV,COL,URU,2-0,1,3-1,1,3,1-1,x,0,3-1,1,3,2-1,1,4,3-1,1,3,2-0,1,5,2-0,1,5,2-1,1,4,3-0,1,4,2-1,1,4,0-1,2,0,2-1,1,4
177,MM14,JNV,NED,MEX,2-1,1,3-1,1,4,2-0,1,4,2-1,1,5,1-2,2,0,,,,2-1,1,5,3-1,1,4,1-1,x,1,0-0,x,0,1-1,x,1,1-2,2,0,3-2,1,3
178,MM14,JNV,CRC,GRE,1-1,x,0-0,x,3,1-0,1,1,1-0,1,1,0-1,2,1,2-1,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-0,1,0,1-0,1,1,0-0,x,3,2-1,1,1
179,MM14,JNV,FRA,NGA,2-0,1,2-1,1,4,2-0,1,5,3-1,1,3,2-0,1,5,3-0,1,4,3-1,1,3,2-0,1,5,2-0,1,5,2-0,1,5,2-1,1,4,3-0,1,4,2-0,1,5
180,MM14,JNV,GER,ALG,0-0,x,4-1,1,0,2-0,1,1,2-0,1,1,3-0,1,1,2-1,1,0,2-0,1,1,2-0,1,1,3-0,1,1,1-0,1,1,3-1,1,0,2-0,1,1,2-1,1,0
181,MM14,JNV,ARG,SUI,0-0,x,2-1,1,0,2-0,1,1,1-1,x,3,3-1,1,0,3-1,1,0,2-1,1,0,1-0,1,1,2-0,1,1,1-0,1,1,2-1,1,0,1-1,x,3,2-1,1,0
182,MM14,JNV,BEL,USA,0-0,x,1-0,1,1,1-1,x,3,1-1,x,3,2-1,1,0,1-1,x,3,0-1,2,1,1-1,x,3,1-0,1,1,0-2,2,1,1-0,1,1,0-0,x,5,2-1,1,0
183,MM14,JPV,FRA,GER,0-1,2,2-1,1,1,1-1,x,1,1-1,x,1,,,,1-1,x,1,1-2,2,3,1-1,x,1,0-1,2,5,2-0,1,0,1-1,x,1,0-1,2,5,1-1,x,1
184,MM14,JPV,BRA,COL,2-1,1,1-1,x,1,2-1,1,5,2-1,1,5,,,,2-1,1,5,2-0,1,4,1-1,x,1,1-1,x,1,1-2,2,0,0-1,2,1,2-1,1,5,1-1,x,1
185,MM14,JPV,ARG,BEL,1-0,1,0-0,x,1,1-0,1,5,1-1,x,1,,,,1-2,2,1,1-0,1,5,1-1,x,1,1-1,x,1,3-0,1,4,0-0,x,1,1-0,1,5,1-1,x,1
186,MM14,JPV,NED,CRC,0-0,x,4-1,1,0,1-0,1,1,2-0,1,1,,,,3-1,1,0,2-0,1,1,2-0,1,1,2-0,1,1,2-1,1,0,1-0,1,1,1-0,1,1,2-1,1,0
187,MM14,JV,BRA,GER,1-7,2,2-1,1,0,1-2,2,4,0-1,2,3,,,,1-2,2,4,1-1,x,1,0-2,2,3,0-1,2,3,0-1,2,3,1-1,x,1,1-2,2,4,1-2,2,4
188,MM14,JV,NED,ARG,0-0,x,2-3,2,0,1-1,x,3,1-2,2,0,,,,1-1,x,3,1-1,x,3,1-2,2,0,1-1,x,3,2-0,1,1,1-0,1,1,1-2,2,0,1-1,x,3
189,MM14,JP,BRA,NED,0-3,2,3-2,1,0,2-1,1,0,2-1,1,0,,,,2-1,1,0,3-1,1,0,2-2,x,0,1-2,2,3,1-3,2,4,2-1,1,0,1-3,2,4,1-2,2,3
190,MM14,JF,GER,ARG,0-0,x,2-0,1,1,1-1,x,3,2-1,1,0,,,,3-1,1,0,1-1,x,3,0-0,x,5,0-0,x,5,0-0,x,5,2-0,1,1,2-0,1,1,2-0,1,1
