#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Etirel9-veikkaus,Etirel9-merkki,Etirel9-pisteet,kool-aid-veikkaus,kool-aid-merkki,kool-aid-pisteet,ernoluukkonen-veikkaus,ernoluukkonen-merkki,ernoluukkonen-pisteet
367,EM24,AL1,TUR,GEO,3-1,1,3-0,1,4,3-1,1,5,1-1,x,1,2-0,1,3,1-0,1,3,3-0,1,4,2-1,1,4,0-0,x,0,2-0,1,3,2-1,1,4,2-0,1,3,3-0,1,4,2-2,x,0,2-0,1,3
368,EM24,AL1,POR,CZE,2-1,1,2-2,x,1,3-1,1,4,2-0,1,4,2-1,1,5,3-0,1,3,2-1,1,5,2-1,1,5,2-2,x,1,3-1,1,4,2-0,1,4,2-1,1,5,3-1,1,4,1-0,1,3,4-2,1,3
369,EM24,AL2,CRO,ALB,2-2,x,2-0,1,1,2-1,1,1,2-1,1,1,2-1,1,1,1-1,x,3,2-1,1,1,2-1,1,1,1-0,1,0,2-0,1,1,1-0,1,0,2-1,1,1,2-0,1,1,3-1,1,0,3-1,1,0
370,EM24,AL2,GER,HUN,2-0,1,2-1,1,4,2-0,1,5,3-1,1,3,3-0,1,4,2-1,1,4,3-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,1-0,1,4,3-1,1,3,3-0,1,4,4-0,1,4,3-2,1,3
371,EM24,AL2,SCO,SUI,1-1,x,0-1,2,1,1-3,2,1,1-1,x,5,0-2,2,0,0-2,2,0,0-2,2,0,1-2,2,1,0-2,2,0,0-1,2,1,0-2,2,0,0-3,2,0,1-2,2,1,0-1,2,1,0-1,2,1
372,EM24,AL2,SVN,SRB,1-1,x,1-2,2,1,1-2,2,1,1-2,2,1,1-1,x,5,2-1,1,1,1-2,2,1,1-2,2,1,1-1,x,5,0-2,2,0,1-1,x,5,1-1,x,5,1-2,2,1,0-2,2,0,2-2,x,3
373,EM24,AL2,DEN,ENG,1-1,x,0-2,2,0,0-1,2,1,1-2,2,1,1-2,2,1,1-2,2,1,0-1,2,1,1-1,x,5,1-1,x,5,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,0-2,2,0,2-3,2,0
374,EM24,AL2,ESP,ITA,1-0,1,3-1,1,3,1-1,x,1,1-2,2,1,2-2,x,0,2-2,x,0,2-1,1,3,2-1,1,3,2-0,1,4,1-0,1,5,0-1,2,0,2-1,1,3,2-1,1,3,1-1,x,1,2-2,x,0
375,EM24,AL2,SVK,UKR,1-2,2,1-2,2,5,2-1,1,0,1-1,x,1,1-2,2,5,2-1,1,0,1-0,1,1,1-2,2,5,0-0,x,0,0-1,2,3,0-2,2,4,2-2,x,1,1-1,x,1,1-1,x,1,1-2,2,5
376,EM24,AL2,POL,AUT,1-3,2,1-2,2,4,1-1,x,1,2-1,1,0,1-0,1,1,1-1,x,1,1-1,x,1,0-1,2,3,2-1,1,0,0-1,2,3,1-1,x,1,1-2,2,4,2-1,1,0,1-2,2,4,1-1,x,1
377,EM24,AL2,NED,FRA,0-0,x,0-2,2,1,1-2,2,0,1-3,2,0,1-1,x,3,1-2,2,0,0-1,2,1,0-2,2,1,2-0,1,1,0-2,2,1,2-1,1,0,1-2,2,0,1-2,2,0,0-2,2,1,1-3,2,0
378,EM24,AL2,GEO,CZE,1-1,x,1-2,2,1,1-2,2,1,0-2,2,0,1-2,2,1,1-0,1,1,0-2,2,0,0-2,2,0,1-2,2,1,0-1,2,1,0-1,2,1,1-1,x,5,0-2,2,0,0-2,2,0,1-4,2,1
379,EM24,AL2,TUR,POR,0-3,2,1-2,2,3,0-2,2,4,0-2,2,4,1-2,2,3,1-2,2,3,0-1,2,4,0-2,2,4,0-2,2,4,1-3,2,4,0-1,2,4,1-2,2,3,1-2,2,3,0-3,2,5,1-3,2,4
380,EM24,AL2,BEL,ROU,2-0,1,3-1,1,3,2-1,1,4,1-1,x,0,2-0,1,5,2-0,1,5,2-1,1,4,3-0,1,4,1-2,2,0,3-0,1,4,3-0,1,4,2-1,1,4,2-0,1,5,1-0,1,4,4-2,1,3
381,EM24,AL3,SUI,GER,1-1,x,0-1,2,1,1-2,2,1,1-3,2,1,1-1,x,5,1-1,x,5,1-2,2,1,1-2,2,1,1-1,x,5,0-2,2,0,1-1,x,5,1-3,2,1,1-2,2,1,1-2,2,1,1-2,2,1
382,EM24,AL3,SCO,HUN,0-1,2,2-2,x,0,1-1,x,1,0-2,2,4,1-1,x,1,2-0,1,0,2-2,x,0,1-2,2,3,2-0,1,0,1-1,x,1,1-1,x,1,2-1,1,1,1-1,x,1,1-2,2,3,1-1,x,1
383,EM24,AL3,ALB,ESP,0-1,2,0-2,2,4,0-2,2,4,0-3,2,4,0-2,2,4,0-3,2,4,0-3,2,4,0-2,2,4,0-4,2,4,0-2,2,4,1-3,2,3,1-3,2,3,0-2,2,4,0-3,2,4,1-4,2,3
384,EM24,AL3,CRO,ITA,1-1,x,1-1,x,5,0-2,2,0,1-1,x,5,1-1,x,5,1-0,1,1,1-2,2,1,1-1,x,5,1-2,2,1,1-1,x,5,1-1,x,5,1-1,x,5,0-1,2,1,0-1,2,1,2-3,2,0
385,EM24,AL3,NED,AUT,2-3,2,2-1,1,1,2-1,1,1,0-1,2,3,2-1,1,1,1-2,2,3,2-1,1,1,1-1,x,0,2-0,1,1,1-1,x,0,2-0,1,1,1-2,2,3,1-1,x,0,2-1,1,1,2-0,1,1
386,EM24,AL3,FRA,POL,1-1,x,3-0,1,0,2-0,1,0,2-0,1,0,2-0,1,0,1-0,1,1,1-0,1,1,2-1,1,1,2-1,1,1,2-0,1,0,1-1,x,5,2-1,1,1,2-0,1,0,3-0,1,0,4-1,1,1
387,EM24,AL3,ENG,SVN,0-0,x,2-0,1,1,1-1,x,3,2-0,1,1,2-0,1,1,1-1,x,3,2-1,1,0,3-0,1,1,2-0,1,1,1-0,1,1,2-0,1,1,1-1,x,3,1-0,1,1,1-0,1,1,3-1,1,0
388,EM24,AL3,DEN,SRB,0-0,x,2-1,1,0,1-0,1,1,2-2,x,3,1-0,1,1,0-1,2,1,2-0,1,1,2-1,1,0,1-1,x,3,0-1,2,1,2-0,1,1,2-0,1,1,2-1,1,0,1-1,x,3,1-0,1,1
389,EM24,AL3,SVK,ROU,1-1,x,1-1,x,5,0-0,x,3,1-1,x,5,1-1,x,5,0-0,x,3,1-2,2,1,1-2,2,1,0-2,2,0,0-1,2,1,1-1,x,5,1-1,x,5,1-0,1,1,2-0,1,0,2-2,x,3
390,EM24,AL3,UKR,BEL,0-0,x,1-2,2,0,1-2,2,0,1-2,2,0,1-2,2,0,0-2,2,1,0-1,2,1,1-3,2,0,0-1,2,1,0-3,2,1,1-2,2,0,1-2,2,0,0-2,2,1,0-2,2,1,3-4,2,0
391,EM24,AL3,GEO,POR,2-0,1,1-3,2,0,0-2,2,0,1-2,2,0,1-1,x,0,0-2,2,0,0-2,2,0,0-2,2,0,0-3,2,0,0-3,2,0,0-2,2,0,0-2,2,0,0-2,2,0,0-3,2,0,0-4,2,0
392,EM24,AL3,CZE,TUR,1-2,2,2-2,x,1,2-1,1,0,2-1,1,0,1-2,2,5,0-0,x,0,1-1,x,1,2-1,1,0,1-1,x,1,0-2,2,4,2-1,1,0,1-1,x,1,1-1,x,1,1-1,x,1,1-2,2,5
393,EM24,JNV,SUI,ITA,2-0,1,0-1,2,0,1-1,x,0,1-2,2,0,1-1,x,0,1-1,x,0,1-1,x,0,1-1,x,0,1-0,1,4,1-1,x,0,1-0,1,4,1-1,x,0,0-1,2,0,1-0,1,4,1-2,2,0
394,EM24,JNV,GER,DEN,2-0,1,2-1,1,4,1-0,1,4,3-1,1,3,2-0,1,5,2-0,1,5,2-1,1,4,2-1,1,4,0-1,2,0,2-0,1,5,3-1,1,3,2-1,1,4,1-0,1,4,2-0,1,5,3-1,1,3
395,EM24,JNV,ENG,SVK,1-1,x,2-1,1,1,1-1,x,5,2-0,1,0,2-0,1,0,1-1,x,5,1-0,1,1,1-1,x,5,0-0,x,3,1-0,1,1,0-0,x,3,1-1,x,5,1-0,1,1,1-1,x,5,1-0,1,1
396,EM24,JNV,ESP,GEO,4-1,1,3-0,1,3,2-0,1,3,2-1,1,4,3-0,1,3,2-0,1,3,3-0,1,3,2-1,1,4,3-0,1,3,2-0,1,3,2-0,1,3,2-1,1,4,2-0,1,3,2-1,1,4,3-0,1,3
397,EM24,JNV,FRA,BEL,1-0,1,,,,1-0,1,5,0-0,x,1,2-1,1,3,0-1,2,0,0-0,x,1,0-0,x,1,1-0,1,5,2-0,1,4,1-0,1,5,2-1,1,3,1-1,x,1,1-0,1,5,2-1,1,3
398,EM24,JNV,POR,SVN,0-0,x,1-1,x,3,2-1,1,0,1-1,x,3,2-1,1,0,0-0,x,5,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,1-1,x,3,1-1,x,3,2-0,1,1,2-1,1,0,3-1,1,0
399,EM24,JNV,ROU,NED,0-3,2,1-3,2,4,0-2,2,4,0-1,2,4,0-2,2,4,1-0,1,0,1-1,x,0,1-2,2,3,1-2,2,3,0-1,2,4,0-2,2,4,1-2,2,3,0-1,2,4,0-1,2,4,1-2,2,3
400,EM24,JNV,AUT,TUR,1-2,2,2-1,1,0,2-1,1,0,2-0,1,0,2-1,1,0,2-1,1,0,1-0,1,1,2-0,1,0,2-0,1,0,1-0,1,1,3-1,1,0,2-1,1,0,1-0,1,1,2-0,1,0,2-1,1,0
401,EM24,JPV,ESP,GER,1-1,x,3-2,1,0,1-1,x,5,,,,1-1,x,5,1-1,x,5,2-1,1,1,1-3,2,1,1-1,x,5,2-1,1,1,2-0,1,0,1-2,2,1,1-1,x,5,1-2,2,1,2-1,1,1
402,EM24,JPV,POR,FRA,0-0,x,1-1,x,3,0-1,2,1,0-1,2,1,0-1,2,1,0-1,2,1,0-1,2,1,1-1,x,3,1-1,x,3,0-1,2,1,0-0,x,5,0-1,2,1,0-1,2,1,0-2,2,1,1-0,1,1
403,EM24,JPV,ENG,SUI,1-1,x,2-1,1,1,0-1,2,1,1-1,x,5,1-2,2,1,1-1,x,5,1-1,x,5,1-1,x,5,0-2,2,0,1-1,x,5,0-2,2,0,1-2,2,1,1-0,1,1,1-1,x,5,2-1,1,1
404,EM24,JPV,NED,TUR,2-1,1,1-1,x,1,3-1,1,4,1-0,1,3,2-1,1,5,2-1,1,5,2-0,1,4,2-0,1,4,2-1,1,5,2-0,1,4,2-0,1,4,1-1,x,1,1-1,x,1,2-1,1,5,3-1,1,4
405,EM24,JV,ESP,FRA,2-1,1,1-2,2,0,0-0,x,0,1-0,1,3,2-0,1,4,0-0,x,0,2-0,1,4,1-1,x,1,0-0,x,0,1-1,x,1,0-1,2,1,2-0,1,4,1-0,1,3,1-0,1,3,2-1,1,5
406,EM24,JV,NED,ENG,1-2,2,0-1,2,3,2-1,1,0,1-1,x,1,1-1,x,1,1-1,x,1,1-0,1,1,0-0,x,0,2-1,1,0,0-1,2,3,1-1,x,1,1-1,x,1,,,,1-1,x,1,1-2,2,5
407,EM24,JF,ESP,ENG,2-1,1,0-2,2,0,3-2,1,3,2-2,x,1,2-1,1,5,3-1,1,4,3-1,1,4,1-2,2,0,,,,2-0,1,4,3-1,1,4,2-1,1,5,,,,1-2,2,0,2-1,1,5
